#[Mode 4 abundance retrievals (particles/g), 16 columns:] Case 1 R_0=0.3μm, Case 1 R_0=0.5μm, Case 1 R_0=1μm, Case 1 R_0=2μm, Case 2 R_0=0.3μm, Case 2 R_0=0.5μm, Case 2 R_0=1μm, Case 2 R_0=2μm, Case 3 R_0=0.3μm, Case 3 R_0=0.5μm, Case 3 R_0=1μm, Case 3 R_0=2μm, Case 4 R_0=0.3μm, Case 4 R_0=0.5μm, Case 4 R_0=1μm, Case 4 R_0=2μm. 
4.10710e-05 3.21780e-05 2.13820e-05 1.74310e-05 4.31480e-05 3.36440e-05 2.20140e-05 1.53820e-05 3.22900e-05 2.63900e-05 1.89630e-05 1.71980e-05 3.12840e-05 2.50810e-05 1.70020e-05 1.34210e-05
3.94530e-05 3.07610e-05 2.03760e-05 1.66540e-05 4.14510e-05 3.21250e-05 2.09380e-05 1.46770e-05 3.14540e-05 2.56780e-05 1.84810e-05 1.70110e-05 3.06640e-05 2.46470e-05 1.67640e-05 1.33990e-05
2.55560e-05 2.00950e-05 1.41110e-05 1.21940e-05 2.48040e-05 1.95230e-05 1.38540e-05 1.08720e-05 5.57320e-05 4.43710e-05 3.19830e-05 3.06680e-05 5.00030e-05 3.89350e-05 2.59530e-05 2.17300e-05
2.15260e-05 1.75960e-05 1.30350e-05 1.13570e-05 1.98730e-05 1.63960e-05 1.24270e-05 1.02330e-05 6.07630e-05 4.89370e-05 3.47180e-05 2.60800e-05 4.57490e-05 3.43820e-05 2.33080e-05 1.92400e-05
1.75860e-05 1.52600e-05 1.21880e-05 1.08130e-05 1.62320e-05 1.41900e-05 1.15460e-05 9.95860e-06 3.81500e-05 3.23710e-05 2.42660e-05 1.84480e-05 2.85940e-05 2.29570e-05 1.71610e-05 1.47310e-05
1.73890e-05 1.51360e-05 1.21410e-05 1.07920e-05 1.60680e-05 1.40880e-05 1.15050e-05 9.95440e-06 3.71690e-05 3.16390e-05 2.38360e-05 1.82150e-05 2.79790e-05 2.25480e-05 1.69600e-05 1.46080e-05
1.72940e-05 1.50760e-05 1.21190e-05 1.07820e-05 1.59900e-05 1.40390e-05 1.14860e-05 9.95310e-06 3.66980e-05 3.12890e-05 2.36310e-05 1.81050e-05 2.76860e-05 2.23540e-05 1.68660e-05 1.45510e-05
1.72010e-05 1.50180e-05 1.20970e-05 1.07730e-05 1.59130e-05 1.39900e-05 1.14670e-05 9.95220e-06 3.62400e-05 3.09480e-05 2.34330e-05 1.79990e-05 2.74030e-05 2.21670e-05 1.67750e-05 1.44960e-05
1.68500e-05 1.47970e-05 1.20180e-05 1.07440e-05 1.56270e-05 1.38060e-05 1.14000e-05 9.95360e-06 3.45270e-05 2.96750e-05 2.27020e-05 1.76170e-05 2.63510e-05 2.14780e-05 1.64440e-05 1.43030e-05
1.67660e-05 1.47430e-05 1.19990e-05 1.07370e-05 1.55590e-05 1.37630e-05 1.13850e-05 9.95460e-06 3.41290e-05 2.93780e-05 2.25340e-05 1.75290e-05 2.61080e-05 2.13190e-05 1.63690e-05 1.42600e-05
1.66850e-05 1.46900e-05 1.19810e-05 1.07310e-05 1.54930e-05 1.37220e-05 1.13700e-05 9.95560e-06 3.37430e-05 2.90870e-05 2.23700e-05 1.74430e-05 2.58710e-05 2.11640e-05 1.62950e-05 1.42180e-05
1.59580e-05 1.42160e-05 1.18070e-05 1.06750e-05 1.48980e-05 1.33580e-05 1.12460e-05 9.96680e-06 3.03890e-05 2.65520e-05 2.09110e-05 1.66680e-05 2.38040e-05 1.98010e-05 1.56380e-05 1.38390e-05
1.53650e-05 1.38170e-05 1.16530e-05 1.06240e-05 1.44070e-05 1.30570e-05 1.11380e-05 9.97390e-06 2.77830e-05 2.45340e-05 1.97170e-05 1.60130e-05 2.21790e-05 1.87100e-05 1.50930e-05 1.35040e-05
1.48700e-05 1.34800e-05 1.15200e-05 1.05760e-05 1.40020e-05 1.28060e-05 1.10440e-05 9.97680e-06 2.57190e-05 2.29180e-05 1.87300e-05 1.54590e-05 2.08740e-05 1.78150e-05 1.46360e-05 1.32120e-05
1.44550e-05 1.31970e-05 1.14040e-05 1.05330e-05 1.36640e-05 1.25900e-05 1.09630e-05 9.97800e-06 2.40580e-05 2.16070e-05 1.79140e-05 1.49920e-05 1.98110e-05 1.70820e-05 1.42480e-05 1.29580e-05
1.41050e-05 1.29550e-05 1.13040e-05 1.04950e-05 1.33770e-05 1.24060e-05 1.08920e-05 9.97810e-06 2.27040e-05 2.05280e-05 1.72330e-05 1.45960e-05 1.89320e-05 1.64690e-05 1.39190e-05 1.27410e-05
1.38050e-05 1.27460e-05 1.12170e-05 1.04630e-05 1.31330e-05 1.22450e-05 1.08310e-05 9.97860e-06 2.15780e-05 1.96270e-05 1.66580e-05 1.42570e-05 1.81930e-05 1.59550e-05 1.36360e-05 1.25530e-05
1.35460e-05 1.25650e-05 1.11410e-05 1.04340e-05 1.29200e-05 1.21050e-05 1.07780e-05 9.97890e-06 2.06310e-05 1.88660e-05 1.61660e-05 1.39650e-05 1.75660e-05 1.55140e-05 1.33910e-05 1.23890e-05
1.33200e-05 1.24070e-05 1.10740e-05 1.04090e-05 1.27360e-05 1.19790e-05 1.07320e-05 9.97960e-06 1.98210e-05 1.82130e-05 1.57400e-05 1.37090e-05 1.70250e-05 1.51360e-05 1.31770e-05 1.22430e-05
1.31200e-05 1.22670e-05 1.10140e-05 1.03860e-05 1.25740e-05 1.18680e-05 1.06910e-05 9.98020e-06 1.91230e-05 1.76480e-05 1.53690e-05 1.34840e-05 1.65560e-05 1.48060e-05 1.29870e-05 1.21150e-05
