# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
7.00000e+01 3.39560e-02 2.29305e+02 3.00000e-06 9.65000e-01 2.60000e-05 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.90000e+01 4.14790e-02 2.32897e+02 3.00000e-06 9.65000e-01 3.08000e-05 4.20000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.80000e+01 5.05650e-02 2.35861e+02 3.00000e-06 9.65000e-01 3.56000e-05 5.87000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.70000e+01 6.14040e-02 2.40823e+02 3.00000e-06 9.65000e-01 4.04000e-05 8.20000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.60000e+01 7.43400e-02 2.44785e+02 3.00000e-06 9.65000e-01 4.52000e-05 1.15000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.50000e+01 8.96290e-02 2.50440e+02 3.00000e-06 9.65000e-01 5.00000e-05 1.60000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.40000e+01 1.07600e-01 2.56419e+02 4.59000e-06 9.65000e-01 4.92000e-05 2.24000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.30000e+01 1.28890e-01 2.57859e+02 6.18000e-06 9.65000e-01 4.85000e-05 3.13000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.20000e+01 1.54020e-01 2.62406e+02 7.76000e-06 9.65000e-01 4.77000e-05 4.38000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.10000e+01 1.83520e-01 2.66399e+02 9.35000e-06 9.65000e-01 4.69000e-05 6.12000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
6.00000e+01 2.18100e-01 2.70639e+02 1.09000e-05 9.65000e-01 4.62000e-05 8.55000e-07 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.90000e+01 2.58500e-01 2.75743e+02 1.25000e-05 9.65000e-01 4.54000e-05 1.20000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
